1,1,19,,,,,,1,2018-12-14T18:49:03.000Z
2,5,35,42,44,,,,0,2018-07-06T20:48:44.000Z
3,10,17,26,27,28,31,32,1,2018-05-18T21:27:28.000Z
4,2,5,18,22,27,46,,0,2018-04-21T18:22:21.000Z
5,23,24,40,41,43,,,1,2018-04-21T19:18:49.000Z
6,4,9,44,,,,,0,2018-04-21T20:00:43.000Z
7,13,17,44,47,,,,1,2018-06-10T19:44:25.000Z
8,4,45,,,,,,0,2018-06-10T20:42:43.000Z
9,5,15,22,,,,,1,2018-05-01T22:08:18.000Z
10,17,29,47,,,,,0,2018-02-01T23:08:47.000Z
11,9,27,37,48,,,,1,2018-06-08T21:07:34.000Z
12,1,17,35,46,,,,0,2018-05-04T16:02:23.000Z
13,4,22,25,,,,,1,2018-05-04T20:45:17.000Z
14,17,18,28,47,,,,0,2018-05-11T19:03:59.000Z
15,12,27,28,,,,,1,2018-02-04T16:38:04.000Z
16,16,32,45,,,,,0,2018-01-07T16:36:38.000Z
17,7,11,17,40,,,,1,2018-05-14T20:56:24.000Z
18,15,39,,,,,,0,2018-05-21T16:55:13.000Z
19,49,,,,,,,1,2018-05-21T17:41:49.000Z
20,20,21,35,36,,,,0,2018-11-19T17:08:09.000Z
21,6,9,13,35,43,,,1,2018-11-17T14:02:49.000Z
22,0,2,32,46,,,,0,2018-05-27T20:06:58.000Z
23,3,18,35,,,,,1,2018-11-18T16:28:48.000Z
24,27,30,46,,,,,0,2018-04-19T21:51:20.000Z
25,17,47,,,,,,1,2018-06-21T14:55:46.000Z
26,35,38,,,,,,0,2018-05-10T22:17:53.000Z
27,5,22,46,,,,,1,2018-05-10T22:23:18.000Z
28,0,8,42,,,,,0,2018-05-17T14:44:02.000Z
29,0,4,46,,,,,1,2018-05-17T16:13:22.000Z
30,4,16,49,,,,,0,2018-05-31T15:03:04.000Z
31,4,11,36,,,,,1,2018-05-31T15:40:26.000Z
32,0,22,37,,,,,0,2018-05-31T15:57:11.000Z
33,20,27,28,,,,,1,2018-05-31T15:57:46.000Z
34,33,35,42,43,,,,0,2018-05-31T16:31:55.000Z
35,27,28,39,41,,,,1,2018-02-05T17:13:33.000Z
36,18,35,,,,,,0,2018-06-12T16:42:16.000Z
37,31,44,49,,,,,1,2018-06-12T22:03:40.000Z
38,2,8,12,,,,,0,2018-04-04T15:36:09.000Z
39,12,33,42,,,,,1,2018-04-11T19:43:59.000Z
40,24,27,28,44,,,,0,2018-01-02T17:39:53.000Z
41,4,14,28,41,42,,,1,2018-07-11T17:17:56.000Z
42,7,15,33,40,49,,,0,2018-10-03T17:16:34.000Z
43,16,23,32,45,,,,1,2018-05-25T19:52:05.000Z
44,16,19,29,,,,,0,2018-05-28T17:20:09.000Z
45,10,27,28,,,,,1,2018-05-28T17:52:21.000Z
46,5,22,24,,,,,0,2018-05-19T18:42:09.000Z
47,12,21,25,39,,,,1,2018-09-15T16:40:44.000Z
48,4,9,46,,,,,0,2018-07-08T16:51:52.000Z
49,2,11,27,45,,,,1,2018-06-03T16:52:26.000Z
50,17,23,29,42,,,,0,2018-06-03T20:30:12.000Z
51,7,11,37,45,,,,1,2018-05-27T17:43:30.000Z
52,14,44,,,,,,0,2018-05-17T17:41:18.000Z
53,9,19,30,33,42,,,1,2018-07-13T23:19:53.000Z
54,13,16,21,32,39,,,0,2018-11-09T20:21:59.000Z
55,7,11,37,44,45,,,1,2018-11-09T20:53:14.000Z
56,11,17,29,45,47,,,0,2018-11-30T18:45:55.000Z
57,7,11,37,45,,,,1,2018-10-26T02:02:33.000Z
58,4,14,27,30,43,44,49,0,2018-04-23T21:07:56.000Z
59,3,6,10,17,29,37,39,1,2018-08-13T15:44:34.000Z
60,16,32,45,,,,,0,2018-05-07T16:46:15.000Z
61,3,18,35,,,,,1,2018-05-21T17:38:25.000Z
62,1,19,26,27,,,,0,2018-11-26T13:52:36.000Z
63,5,18,27,,,,,1,2018-07-07T00:41:27.000Z
64,0,14,42,,,,,0,2018-08-16T23:52:35.000Z
65,1,31,35,,,,,1,2018-12-06T02:52:22.000Z
66,46,,,,,,,0,2018-06-07T18:39:37.000Z
67,7,11,37,,,,,1,2018-05-17T15:42:51.000Z
68,3,7,21,,,,,0,2018-11-01T20:03:41.000Z
69,0,33,42,,,,,1,2018-07-03T14:43:49.000Z
70,12,31,36,,,,,0,2018-07-17T02:20:03.000Z
71,0,17,24,,,,,1,2018-07-24T16:17:36.000Z
72,5,14,29,44,,,,0,2018-07-04T02:57:15.000Z
73,1,15,19,,,,,1,2018-07-04T14:32:24.000Z
74,10,15,18,35,49,,,0,2018-07-04T23:49:35.000Z
75,3,18,35,,,,,1,2018-06-06T18:47:35.000Z
76,2,15,16,18,31,32,42,0,2018-06-13T16:34:55.000Z
77,4,9,,,,,,1,2018-06-20T21:26:54.000Z
78,4,22,29,36,,,,0,2018-06-27T15:56:24.000Z
79,4,9,,,,,,1,2018-11-21T20:56:17.000Z
80,28,42,49,,,,,0,2018-08-10T23:28:02.000Z
81,14,16,18,,,,,1,2018-07-13T22:00:16.000Z
82,21,27,28,31,,,,0,2018-07-27T23:12:57.000Z
83,3,18,35,,,,,1,2018-11-16T00:58:56.000Z
84,4,49,,,,,,0,2018-11-16T00:59:15.000Z
85,1,8,15,41,,,,1,2018-10-26T23:12:35.000Z
86,5,16,17,,,,,0,2018-09-14T23:03:46.000Z
87,4,13,27,28,,,,1,2018-07-02T23:24:50.000Z
88,5,22,30,,,,,0,2018-07-09T23:14:25.000Z
89,7,15,49,,,,,1,2018-07-16T23:36:40.000Z
90,16,23,27,32,39,45,47,0,2018-11-05T23:39:26.000Z
91,9,19,30,,,,,1,2018-11-12T00:19:15.000Z
92,27,28,,,,,,0,2018-11-12T23:42:01.000Z
93,23,24,40,41,,,,1,2018-08-11T22:17:30.000Z
94,17,28,30,31,41,47,,0,2018-08-18T20:40:43.000Z
95,0,13,22,29,,,,1,2018-07-07T22:26:00.000Z
96,5,12,22,,,,,0,2018-07-07T22:37:36.000Z
97,7,11,37,45,,,,1,2018-07-21T00:24:16.000Z
98,2,4,9,,,,,0,2018-07-21T23:02:40.000Z
99,3,18,35,44,,,,1,2018-07-28T21:55:35.000Z
100,4,18,39,,,,,0,2018-06-09T17:06:39.000Z
101,7,15,30,49,,,,1,2018-06-09T17:44:18.000Z
102,9,,,,,,,0,2018-06-30T22:19:50.000Z
103,4,,,,,,,1,2018-11-17T20:43:27.000Z
104,18,22,44,,,,,0,2018-10-13T00:40:26.000Z
105,7,11,37,,,,,1,2018-10-27T18:11:45.000Z
106,4,9,,,,,,0,2018-09-15T23:15:21.000Z
107,3,5,21,40,44,48,,1,2018-08-12T20:47:25.000Z
108,7,33,42,,,,,0,2018-07-01T00:15:14.000Z
109,16,32,45,,,,,1,2018-07-01T00:59:59.000Z
110,12,32,42,,,,,1,2018-06-17T20:25:50.000Z
111,23,34,39,,,,,0,2018-10-28T16:47:05.000Z
112,8,23,31,,,,,1,2018-09-09T17:10:05.000Z
113,0,11,14,19,29,41,,0,2018-09-16T00:14:26.000Z
114,15,39,,,,,,1,2018-07-12T23:59:20.000Z
115,16,24,32,33,45,,,0,2018-11-01T17:56:40.000Z
116,0,15,21,30,46,,,1,2018-10-25T00:13:41.000Z
117,6,11,,,,,,0,2018-10-25T22:58:56.000Z
118,6,26,43,,,,,1,2018-08-14T23:35:41.000Z
119,4,12,27,28,,,,0,2018-07-03T22:23:36.000Z
120,31,32,41,,,,,1,2018-07-03T22:35:05.000Z
121,23,24,40,41,,,,0,2018-07-10T23:14:09.000Z
122,4,31,39,45,,,,1,2018-07-17T23:34:10.000Z
123,16,20,36,37,,,,0,2018-06-26T16:14:29.000Z
